Runing compare from /home/zhongjiafeng/Model/N801/models/experiment/TT/tent/origin_scores.txt to /home/zhongjiafeng/Model/N801/models/experiment/TT/tent/tent_step_3_scores.txt.
EER 1 : 27.560000000000002           EER 2 : 41.43.
Threshold 1 : -5.629968643188     Threshold 2 : -6.816090583801.
===========================================================================================
total number of change to right : 4554 
utt change to right:    file_name      |    score 1    |    score 2    |
utt change to right:    20000001.wav    | -5.310338973999 | -6.881023406982 |
utt change to right:    20000043.wav    | -5.336654663086 | -6.829093456268 |
utt change to right:    20000371.wav    | -5.562935829163 | -7.301867008209 |
utt change to right:    20000405.wav    | -5.605398178101 | -6.887261390686 |
utt change to right:    20000422.wav    | -5.448315620422 | -6.86314868927 |
utt change to right:    20000427.wav    | -5.338943481445 | -6.833931922913 |
utt change to right:    20000429.wav    | -5.554166793823 | -6.919535636902 |
utt change to right:    20000435.wav    | -5.551270484924 | -6.851600170135 |
utt change to right:    20000439.wav    | -5.527471065521 | -6.940567970276 |
utt change to right:    20000520.wav    | -5.438107967377 | -7.131345748901 |
utt change to right:    20000536.wav    | -5.540531158447 | -6.879322052002 |
utt change to right:    20000566.wav    | -5.532119274139 | -6.951559066772 |
utt change to right:    20000601.wav    | -5.603252887726 | -6.974400997162 |
utt change to right:    20000605.wav    | -5.310888767242 | -6.821464538574 |
utt change to right:    20000697.wav    | -5.361850738525 | -6.891208648682 |
utt change to right:    20000742.wav    | -5.439030647278 | -6.917145729065 |
utt change to right:    20000756.wav    | -5.617931365967 | -6.914978981018 |
utt change to right:    20000798.wav    | -5.535053253174 | -7.06963634491 |
utt change to right:    20000801.wav    | -5.36762714386 | -6.852824687958 |
utt change to right:    20000839.wav    | -5.269607543945 | -6.837212562561 |
utt change to right:    20000886.wav    | -5.403285503387 | -6.955302715302 |
utt change to right:    20000953.wav    | -5.392672538757 | -6.965391159058 |
utt change to right:    20000960.wav    | -5.466927528381 | -7.206593990326 |
utt change to right:    20001001.wav    | -5.561732292175 | -7.032404899597 |
utt change to right:    20001009.wav    | -5.524344444275 | -7.046803474426 |
utt change to right:    20001017.wav    | -5.534495353699 | -6.848069667816 |
utt change to right:    20001085.wav    | -5.622363090515 | -7.177478790283 |
utt change to right:    20001118.wav    | -5.24472618103 | -6.845278739929 |
utt change to right:    20001155.wav    | -5.62603521347 | -7.018267631531 |
utt change to right:    20001202.wav    | -5.508249282837 | -7.006361961365 |
utt change to right:    20001281.wav    | -5.600747108459 | -7.114000320435 |
